run,type,module,name,attrname,attrvalue,value
Default-0-20210305-14:43:10-7736,runattr,,,configname,Default,
Default-0-20210305-14:43:10-7736,runattr,,,datetime,20210305-14:43:10,
Default-0-20210305-14:43:10-7736,runattr,,,experiment,Default,
Default-0-20210305-14:43:10-7736,runattr,,,inifile,omnetpp.ini,
Default-0-20210305-14:43:10-7736,runattr,,,iterationvars,,
Default-0-20210305-14:43:10-7736,runattr,,,iterationvarsf,,
Default-0-20210305-14:43:10-7736,runattr,,,measurement,,
Default-0-20210305-14:43:10-7736,runattr,,,network,Lucky,
Default-0-20210305-14:43:10-7736,runattr,,,processid,7736,
Default-0-20210305-14:43:10-7736,runattr,,,repetition,0,
Default-0-20210305-14:43:10-7736,runattr,,,replication,#0,
Default-0-20210305-14:43:10-7736,runattr,,,resultdir,results,
Default-0-20210305-14:43:10-7736,runattr,,,runnumber,0,
Default-0-20210305-14:43:10-7736,runattr,,,seedset,0,
Default-0-20210305-14:43:10-7736,param,,,*.playgroundSizeX,2500m,
Default-0-20210305-14:43:10-7736,param,,,*.playgroundSizeY,2500m,
Default-0-20210305-14:43:10-7736,param,,,*.playgroundSizeZ,50m,
Default-0-20210305-14:43:10-7736,param,,,*.annotations.draw,true,
Default-0-20210305-14:43:10-7736,param,,,*.manager.updateInterval,1s,
Default-0-20210305-14:43:10-7736,param,,,*.manager.host,"""localhost""",
Default-0-20210305-14:43:10-7736,param,,,*.manager.port,9999,
Default-0-20210305-14:43:10-7736,param,,,*.manager.autoShutdown,true,
Default-0-20210305-14:43:10-7736,param,,,*.manager.launchConfig,"xmldoc(""autobahn.launchd.xml"")",
Default-0-20210305-14:43:10-7736,param,,,*.rsu[0].mobility.x,1500,
Default-0-20210305-14:43:10-7736,param,,,*.rsu[0].mobility.y,1000,
Default-0-20210305-14:43:10-7736,param,,,*.rsu[0].mobility.z,3,
Default-0-20210305-14:43:10-7736,param,,,*.rsu[*].applType,"""TraCIDemoRSU11p""",
Default-0-20210305-14:43:10-7736,param,,,*.rsu[*].appl.headerLength,80 bit,
Default-0-20210305-14:43:10-7736,param,,,*.rsu[*].appl.sendBeacons,true,
Default-0-20210305-14:43:10-7736,param,,,*.rsu[*].appl.dataOnSch,false,
Default-0-20210305-14:43:10-7736,param,,,*.rsu[*].appl.beaconInterval,5s,
Default-0-20210305-14:43:10-7736,param,,,*.rsu[*].appl.beaconUserPriority,7,
Default-0-20210305-14:43:10-7736,param,,,*.rsu[*].appl.dataUserPriority,5,
Default-0-20210305-14:43:10-7736,param,,,*.rsu[*].nic.phy80211p.antennaOffsetZ,0 m,
Default-0-20210305-14:43:10-7736,param,,,*.connectionManager.sendDirect,true,
Default-0-20210305-14:43:10-7736,param,,,*.connectionManager.maxInterfDist,2600m,
Default-0-20210305-14:43:10-7736,param,,,*.connectionManager.drawMaxIntfDist,false,
Default-0-20210305-14:43:10-7736,param,,,*.**.nic.mac1609_4.useServiceChannel,false,
Default-0-20210305-14:43:10-7736,param,,,*.**.nic.mac1609_4.txPower,20mW,
Default-0-20210305-14:43:10-7736,param,,,*.**.nic.mac1609_4.bitrate,6Mbps,
Default-0-20210305-14:43:10-7736,param,,,*.**.nic.phy80211p.minPowerLevel,-110dBm,
Default-0-20210305-14:43:10-7736,param,,,*.**.nic.phy80211p.useNoiseFloor,true,
Default-0-20210305-14:43:10-7736,param,,,*.**.nic.phy80211p.noiseFloor,-98dBm,
Default-0-20210305-14:43:10-7736,param,,,*.**.nic.phy80211p.decider,"xmldoc(""config.xml"")",
Default-0-20210305-14:43:10-7736,param,,,*.**.nic.phy80211p.analogueModels,"xmldoc(""config.xml"")",
Default-0-20210305-14:43:10-7736,param,,,*.**.nic.phy80211p.usePropagationDelay,true,
Default-0-20210305-14:43:10-7736,param,,,*.**.nic.phy80211p.antenna,"xmldoc(""antenna.xml"", ""/root/Antenna[@id='monopole']"")",
Default-0-20210305-14:43:10-7736,param,,,*.node[*].nic.phy80211p.antennaOffsetY,0 m,
Default-0-20210305-14:43:10-7736,param,,,*.node[*].nic.phy80211p.antennaOffsetZ,1.895 m,
Default-0-20210305-14:43:10-7736,param,,,*.node[*].applType,"""MyVeinsApp""",
Default-0-20210305-14:43:10-7736,param,,,*.node[*].appl.headerLength,80 bit,
Default-0-20210305-14:43:10-7736,param,,,*.node[*].appl.sendBeacons,false,
Default-0-20210305-14:43:10-7736,param,,,*.node[*].appl.dataOnSch,false,
Default-0-20210305-14:43:10-7736,param,,,*.node[*].appl.beaconInterval,1s,
Default-0-20210305-14:43:10-7736,param,,,*.node[*].veinsmobility.x,0,
Default-0-20210305-14:43:10-7736,param,,,*.node[*].veinsmobility.y,0,
Default-0-20210305-14:43:10-7736,param,,,*.node[*].veinsmobility.z,0,
Default-0-20210305-14:43:10-7736,param,,,*.node[*].veinsmobility.setHostSpeed,false,
Default-0-20210305-14:43:10-7736,param,,,*.node[*0].veinsmobility.accidentCount,0,
Default-0-20210305-14:43:10-7736,param,,,*.node[*0].veinsmobility.accidentStart,73s,
Default-0-20210305-14:43:10-7736,param,,,*.node[*0].veinsmobility.accidentDuration,50s,
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].appl,generatedWSMs,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].appl,receivedWSMs,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].appl,generatedBSMs,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].appl,receivedBSMs,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].appl,generatedWSAs,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].appl,receivedWSAs,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].nic.phy80211p,busyTime,,,2.0459016393443e-05
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].nic.mac1609_4,ReceivedUnicastPackets,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].nic.mac1609_4,ReceivedBroadcasts,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].nic.mac1609_4,SentPackets,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].nic.mac1609_4,SentAcknowledgements,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].nic.mac1609_4,RetriesExceeded,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].nic.mac1609_4,SNIRLostPackets,,,12
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].nic.mac1609_4,RXTXLostPackets,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].nic.mac1609_4,TotalLostPackets,,,12
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].nic.mac1609_4,DroppedPacketsInMac,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].nic.mac1609_4,TooLittleTime,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].nic.mac1609_4,TimesIntoBackoff,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].nic.mac1609_4,SlotsBackoff,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].nic.mac1609_4,NumInternalContention,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].nic.mac1609_4,totalBusyTime,,,0.001248
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].nic.mac1609_4,retriesExceeded:count,,,0
Default-0-20210305-14:43:10-7736,attr,Lucky.node[0].nic.mac1609_4,retriesExceeded:count,source,org_car2x_veins_modules_mac_sigRetriesExceeded,
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].nic.mac1609_4,sentAcks:count,,,0
Default-0-20210305-14:43:10-7736,attr,Lucky.node[0].nic.mac1609_4,sentAcks:count,source,org_car2x_veins_modules_mac_sigSentAck,
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].nic.mac1609_4,sentPackets:count,,,0
Default-0-20210305-14:43:10-7736,attr,Lucky.node[0].nic.mac1609_4,sentPackets:count,source,org_car2x_veins_modules_mac_sigSentPacket,
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].nic.mac1609_4,collisions:count,,,0
Default-0-20210305-14:43:10-7736,attr,Lucky.node[0].nic.mac1609_4,collisions:count,source,org_car2x_veins_modules_mac_sigCollision,
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].nic.mac1609_4,channelBusy:timeavg,,,2.0459016393443e-05
Default-0-20210305-14:43:10-7736,attr,Lucky.node[0].nic.mac1609_4,channelBusy:timeavg,source,org_car2x_veins_modules_mac_sigChannelBusy,
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].veinsmobility,startTime,,,1
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].veinsmobility,totalTime,,,60
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].veinsmobility,stopTime,,,62
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].veinsmobility,minSpeed,,,1.4392818092834
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].veinsmobility,maxSpeed,,,39.981052548531
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].veinsmobility,totalDistance,,,1978.5058122539
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[0].veinsmobility,totalCO2Emission,,,616.59138780124
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].appl,generatedWSMs,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].appl,receivedWSMs,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].appl,generatedBSMs,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].appl,receivedBSMs,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].appl,generatedWSAs,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].appl,receivedWSAs,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].nic.phy80211p,busyTime,,,2.216393442623e-05
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].nic.mac1609_4,ReceivedUnicastPackets,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].nic.mac1609_4,ReceivedBroadcasts,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].nic.mac1609_4,SentPackets,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].nic.mac1609_4,SentAcknowledgements,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].nic.mac1609_4,RetriesExceeded,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].nic.mac1609_4,SNIRLostPackets,,,13
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].nic.mac1609_4,RXTXLostPackets,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].nic.mac1609_4,TotalLostPackets,,,13
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].nic.mac1609_4,DroppedPacketsInMac,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].nic.mac1609_4,TooLittleTime,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].nic.mac1609_4,TimesIntoBackoff,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].nic.mac1609_4,SlotsBackoff,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].nic.mac1609_4,NumInternalContention,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].nic.mac1609_4,totalBusyTime,,,0.001352
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].nic.mac1609_4,retriesExceeded:count,,,0
Default-0-20210305-14:43:10-7736,attr,Lucky.node[1].nic.mac1609_4,retriesExceeded:count,source,org_car2x_veins_modules_mac_sigRetriesExceeded,
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].nic.mac1609_4,sentAcks:count,,,0
Default-0-20210305-14:43:10-7736,attr,Lucky.node[1].nic.mac1609_4,sentAcks:count,source,org_car2x_veins_modules_mac_sigSentAck,
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].nic.mac1609_4,sentPackets:count,,,0
Default-0-20210305-14:43:10-7736,attr,Lucky.node[1].nic.mac1609_4,sentPackets:count,source,org_car2x_veins_modules_mac_sigSentPacket,
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].nic.mac1609_4,collisions:count,,,0
Default-0-20210305-14:43:10-7736,attr,Lucky.node[1].nic.mac1609_4,collisions:count,source,org_car2x_veins_modules_mac_sigCollision,
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].nic.mac1609_4,channelBusy:timeavg,,,2.216393442623e-05
Default-0-20210305-14:43:10-7736,attr,Lucky.node[1].nic.mac1609_4,channelBusy:timeavg,source,org_car2x_veins_modules_mac_sigChannelBusy,
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].veinsmobility,startTime,,,4
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].veinsmobility,totalTime,,,60
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].veinsmobility,stopTime,,,65
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].veinsmobility,minSpeed,,,1.2953648990485
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].veinsmobility,maxSpeed,,,39.936834992818
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].veinsmobility,totalDistance,,,1990.5588518372
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[1].veinsmobility,totalCO2Emission,,,611.63344561634
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[2].appl,generatedWSMs,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[2].appl,receivedWSMs,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[2].appl,generatedBSMs,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[2].appl,receivedBSMs,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[2].appl,generatedWSAs,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[2].appl,receivedWSAs,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[2].nic.phy80211p,busyTime,,,2.0459016393443e-05
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[2].nic.mac1609_4,ReceivedUnicastPackets,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[2].nic.mac1609_4,ReceivedBroadcasts,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[2].nic.mac1609_4,SentPackets,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.node[2].nic.mac1609_4,SentAcknowledgements,,,0
